dumbbell farmer's walk,https://www.bodybuilding.com/exercises/farmers-walk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m5-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/forearms,forearms,https://www.bodybuilding.com/exercises/equipment/other,other
palms-up wrist curl over bench,https://www.bodybuilding.com/exercises/palms-up-barbell-wrist-curl-over-a-bench,,,https://www.bodybuilding.com/exercises/muscle/forearms,forearms,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
barbell full squat,https://www.bodybuilding.com/exercises/barbell-full-squat,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
barbell deficit deadlift,https://www.bodybuilding.com/exercises/deficit-deadlift,,,https://www.bodybuilding.com/exercises/muscle/lower-back,lower back,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
barbell deadlift,https://www.bodybuilding.com/exercises/barbell-deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
single-arm palm-in dumbbell shoulder press,https://www.bodybuilding.com/exercises/standing-palm-in-one-arm-dumbbell-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,dumbbell
romanian deadlift with dumbbells,https://www.bodybuilding.com/exercises/romanian-deadlift-with-dumbbells,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,hamstrings,https://www.bodybuilding.com/exercises/equipment/dumbbell,dumbbell
tire flip,https://www.bodybuilding.com/exercises/tire-flip,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,quadriceps,https://www.bodybuilding.com/exercises/equipment/other,other
clean deadlift,https://www.bodybuilding.com/exercises/clean-deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
elbow plank,https://www.bodybuilding.com/exercises/plank,,,https://www.bodybuilding.com/exercises/muscle/abdominals,abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,body only
bottoms up,https://www.bodybuilding.com/exercises/bottoms-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,body only
